Season,Year,Season Type,District,Solar Generation (MW),Adjusted Max Power Limit (MW),Power Consumption from Chargers (MW),Total Power Consumption (MW),Chargers Added This Season,Total Chargers Placed,Spare Capacity (MW),Cumulative Total Max Power Consumption (MW),Buffer Percentage,Overall Spare Capacity (MW)
21,11,Summer,Gungahlin,56.396077373737384,159.7415319191919,22.049999999999997,93.08030303030303,3,63,66.66122888888889,1017.409090909091,0.8333934073097908,203.3938119999998
21,11,Summer,Woden Valley,76.03705575757576,196.8855406060606,64.75,170.2348484848485,9,185,26.650692121212103,1017.409090909091,0.8333934073097908,203.3938119999998
22,11,Winter,Belconnen,86.48975636363636,297.6715745454545,69.3,235.4818181818182,9,198,62.18975636363632,1034.4545454545455,0.7675234579795072,313.32777272727276
22,11,Winter,Nth CBR & City,53.68068363636364,326.98977454545457,23.099999999999998,183.37272727272727,3,66,143.6170472727273,1034.4545454545455,0.7675234579795072,313.32777272727276
22,11,Winter,CBR East,0.943469090909091,51.01619636363637,7.699999999999999,27.60909090909091,1,22,23.40710545454546,1034.4545454545455,0.7675234579795072,313.32777272727276
22,11,Winter,South CBR,23.386312727272724,137.24085818181817,12.25,117.70454545454545,1,35,19.536312727272716,1034.4545454545455,0.7675234579795072,313.32777272727276
22,11,Winter,Tugg,60.224385454545455,293.89711272727277,27.299999999999997,178.84545454545452,3,78,115.05165818181825,1034.4545454545455,0.7675234579795072,313.32777272727276
22,11,Winter,Gungahlin,57.911705454545455,170.80261454545456,23.099999999999998,94.82727272727273,3,66,75.97534181818183,1034.4545454545455,0.7675234579795072,313.32777272727276
22,11,Winter,Woden Valley,79.20868727272727,219.9177781818182,68.25,196.61363636363637,10,195,23.30414181818182,1034.4545454545455,0.7675234579795072,313.32777272727276
23,12,Summer,Belconnen,89.37049000000002,285.63715666666667,72.8,221.8,10,208,63.83715666666666,1051.5,0.8325988818780587,211.4130580000001
23,12,Summer,Nth CBR & City,55.643463333333344,287.3767966666667,24.15,181.48333333333335,3,69,105.89346333333333,1051.5,0.8325988818780587,211.4130580000001
23,12,Summer,CBR East,0.9630255555555557,51.36302555555555,8.049999999999999,27.71666666666667,1,23,23.646358888888884,1051.5,0.8325988818780587,211.4130580000001
23,12,Summer,South CBR,24.064260000000004,137.93092666666666,12.6,115.6,1,36,22.33092666666667,1051.5,0.8325988818780587,211.4130580000001
23,12,Summer,Tugg,61.72118333333335,266.12118333333336,28.349999999999998,173.35,3,81,92.77118333333337,1051.5,0.8325988818780587,211.4130580000001
23,12,Summer,Gungahlin,59.432168888888896,167.0321688888889,24.15,95.48333333333332,3,69,71.54883555555557,1051.5,0.8325988818780587,211.4130580000001
23,12,Summer,Woden Valley,82.44214000000001,207.77547333333337,71.39999999999999,179.73333333333332,9,204,28.042140000000046,1051.5,0.8325988818780587,211.4130580000001
24,12,Winter,Belconnen,92.28762969696972,309.1058115151515,76.3,246.7848484848485,10,218,62.320963030303005,1068.5454545454545,0.7678926861982445,322.9842132727274
24,12,Winter,Nth CBR & City,57.637203636363644,337.3947793939394,25.2,188.9272727272727,3,72,148.4675066666667,1068.5454545454545,0.7678926861982445,322.9842132727274
