Season,Year,Season Type,District,Baseline Power Consumption (MW),Power Consumption from Chargers (MW),Total Power Consumption (MW),Chargers Added This Season,Total Chargers Placed,Spare Capacity (MW),Cumulative Total Power Consumption (MW),Buffer Percentage,Overall Spare Capacity (MW)
21,11,Summer,South CBR,103.0,4.199999999999999,107.2,0,12,6.642424242424241,901.909090909091,0.9958923580996434,3.7200000000000273
21,11,Summer,Tugg,143.9090909090909,12.6,156.5090909090909,0,36,45.23636363636365,901.909090909091,0.9958923580996434,3.7200000000000273
21,11,Summer,Gungahlin,71.03030303030303,12.6,83.63030303030303,0,36,19.71515151515152,901.909090909091,0.9958923580996434,3.7200000000000273
21,11,Summer,Woden Valley,105.48484848484848,31.849999999999998,137.3348484848485,0,91,-16.48636363636365,901.909090909091,0.9958923580996434,3.7200000000000273
22,11,Winter,Belconnen,166.1818181818182,33.949999999999996,200.13181818181818,8,97,11.050000000000011,917.2045454545455,0.8973534554678592,104.9172727272728
22,11,Winter,Nth CBR & City,160.27272727272728,9.1,169.37272727272727,2,26,103.93636363636364,917.2045454545455,0.8973534554678592,104.9172727272728
22,11,Winter,CBR East,19.90909090909091,4.55,24.45909090909091,1,13,25.613636363636367,917.2045454545455,0.8973534554678592,104.9172727272728
22,11,Winter,South CBR,105.45454545454545,4.55,110.00454545454545,1,13,3.8500000000000085,917.2045454545455,0.8973534554678592,104.9172727272728
22,11,Winter,Tugg,151.54545454545453,13.649999999999999,165.19545454545454,3,39,68.47727272727275,917.2045454545455,0.8973534554678592,104.9172727272728
22,11,Winter,Gungahlin,71.72727272727273,13.649999999999999,85.37727272727273,3,39,27.513636363636365,917.2045454545455,0.8973534554678592,104.9172727272728
22,11,Winter,Woden Valley,128.36363636363637,34.3,162.66363636363639,7,98,-21.954545454545467,917.2045454545455,0.8973534554678592,104.9172727272728
23,12,Summer,Belconnen,149.0,33.949999999999996,182.95,0,97,13.316666666666663,923.75,0.9968812052145386,2.8899999999999864
23,12,Summer,Nth CBR & City,157.33333333333334,9.1,166.43333333333334,0,26,65.30000000000001,923.75,0.9968812052145386,2.8899999999999864
23,12,Summer,CBR East,19.666666666666668,4.55,24.21666666666667,0,13,26.18333333333333,923.75,0.9968812052145386,2.8899999999999864
23,12,Summer,South CBR,103.0,4.55,107.55,0,13,6.316666666666677,923.75,0.9968812052145386,2.8899999999999864
23,12,Summer,Tugg,145.0,13.649999999999999,158.65,0,39,45.75,923.75,0.9968812052145386,2.8899999999999864
23,12,Summer,Gungahlin,71.33333333333333,13.649999999999999,84.98333333333332,0,39,22.616666666666674,923.75,0.9968812052145386,2.8899999999999864
23,12,Summer,Woden Valley,108.33333333333333,34.3,142.63333333333333,0,98,-17.299999999999983,923.75,0.9968812052145386,2.8899999999999864
24,12,Winter,Belconnen,170.4848484848485,36.75,207.2348484848485,8,105,9.583333333333314,939.0454545454546,0.8990226028529902,105.47272727272718
24,12,Winter,Nth CBR & City,163.72727272727272,9.799999999999999,173.52727272727273,2,28,106.23030303030302,939.0454545454546,0.8990226028529902,105.47272727272718
24,12,Winter,CBR East,20.09090909090909,4.8999999999999995,24.99090909090909,1,14,25.736363636363638,939.0454545454546,0.8990226028529902,105.47272727272718
24,12,Winter,South CBR,105.87878787878788,4.8999999999999995,110.77878787878788,1,14,3.0999999999999943,939.0454545454546,0.8990226028529902,105.47272727272718
24,12,Winter,Tugg,151.78787878787878,14.7,166.48787878787877,3,42,70.23939393939398,939.0454545454546,0.8990226028529902,105.47272727272718
24,12,Winter,Gungahlin,71.60606060606061,14.35,85.9560606060606,2,41,31.286363636363646,939.0454545454546,0.8990226028529902,105.47272727272718
24,12,Winter,Woden Valley,132.96969696969697,37.099999999999994,170.06969696969696,8,106,-24.645454545454527,939.0454545454546,0.8990226028529902,105.47272727272718
25,13,Summer,Belconnen,152.63636363636363,36.75,189.38636363636363,0,105,12.28636363636366,945.6818181818181,0.9979221347331582,1.969090909091051
